Date,Close
2021-11-01,0.05044017359614372
2021-11-02,0.05044017359614372
2021-11-03,0.05044017359614372
2021-11-05,0.05044017359614372
2021-11-08,0.05044017359614372
2021-11-09,0.05044017359614372
2021-11-10,0.05044017359614372
2021-11-11,0.05044017359614372
2021-11-12,0.05044017359614372
2021-11-15,0.05044017359614372
2021-11-16,0.05044017359614372
2021-11-17,0.05044017359614372
2021-11-18,0.05044017359614372
2021-11-19,0.05044017359614372
2021-11-22,0.05044017359614372
2021-11-23,0.05044017359614372
2021-11-24,0.05044017359614372
2021-11-25,0.05044017359614372
2021-11-26,0.05044017359614372
2021-11-29,0.05044017359614372
2021-11-30,0.05044017359614372
2021-12-01,0.05044017359614372
2021-12-02,0.05044017359614372
2021-12-03,0.05044017359614372
2021-12-06,0.05044017359614372
2021-12-07,0.05044017359614372
2021-12-08,0.05044017359614372
2021-12-09,0.05044017359614372
2021-12-10,0.05044017359614372
2021-12-13,0.05044017359614372
2021-12-14,0.05044017359614372
2021-12-15,0.04126923158764839
2021-12-16,0.04126923158764839
2021-12-17,0.04126923158764839
2021-12-20,0.04126923158764839
2021-12-21,0.04126923158764839
2021-12-22,0.036683760583400726
2021-12-23,0.036683760583400726
2021-12-24,0.036683760583400726
2021-12-27,0.036683760583400726
2021-12-28,0.036683760583400726
2021-12-29,0.036683760583400726
2021-12-30,0.036683760583400726
2021-12-31,0.036683760583400726
2022-01-03,0.036683760583400726
2022-01-04,0.036683760583400726
2022-01-05,0.036683760583400726
2022-01-06,0.036683760583400726
2022-01-07,0.036683760583400726
2022-01-10,0.033932480961084366
2022-01-11,0.033932480961084366
2022-01-12,0.033932480961084366
2022-01-13,0.033932480961084366
2022-01-14,0.033932480961084366
2022-01-17,0.03301538527011871
2022-01-18,0.03301538527011871
2022-01-19,0.03301538527011871
2022-01-20,0.03301538527011871
2022-01-21,0.03301538527011871
2022-01-24,0.04035213962197304
2022-01-25,0.04035213962197304
2022-01-26,0.04035213962197304
2022-01-27,0.04035213962197304
2022-01-28,0.04035213962197304
2022-01-31,0.04035213962197304
2022-02-03,0.04035213962197304
2022-02-04,0.04035213962197304
2022-02-07,0.04035213962197304
2022-02-08,0.04402051493525505
2022-02-09,0.04677179455757141
2022-02-10,0.04677179455757141
2022-02-11,0.03209829330444336
2022-02-14,0.03209829330444336
2022-02-15,0.027512822300195694
2022-02-16,0.027512822300195694
2022-02-17,0.027512822300195694
2022-02-18,0.027512822300195694
2022-02-21,0.027512822300195694
2022-02-22,0.028429916128516197
2022-02-23,0.028429916128516197
2022-02-24,0.028429916128516197
2022-02-25,0.028429916128516197
2022-02-28,0.028429916128516197
2022-03-01,0.028429916128516197
2022-03-02,0.028429916128516197
2022-03-03,0.028429916128516197
2022-03-04,0.028429916128516197
2022-03-07,0.028429916128516197
2022-03-08,0.028429916128516197
2022-03-09,0.028429916128516197
2022-03-10,0.03209829330444336
2022-03-11,0.03209829330444336
2022-03-14,0.03209829330444336
2022-03-15,0.03209829330444336
2022-03-16,0.03209829330444336
2022-03-17,0.03209829330444336
2022-03-18,0.03209829330444336
2022-03-21,0.03209829330444336
2022-03-22,0.03209829330444336
2022-03-23,0.03209829330444336
2022-03-24,0.03209829330444336
2022-03-25,0.03209829330444336
2022-03-28,0.03209829330444336
2022-03-29,0.03209829330444336
2022-03-30,0.03209829330444336
2022-03-31,0.04585470259189606
2022-04-01,0.04585470259189606
2022-04-04,0.04585470259189606
2022-04-05,0.04585470259189606
2022-04-06,0.033932480961084366
2022-04-07,0.033932480961084366
2022-04-08,0.033932480961084366
2022-04-11,0.033932480961084366
2022-04-12,0.03851795196533203
2022-04-13,0.03851795196533203
2022-04-14,0.03851795196533203
2022-04-18,0.03851795196533203
2022-04-19,0.03851795196533203
2022-04-20,0.03851795196533203
2022-04-21,0.03851795196533203
2022-04-22,0.03851795196533203
2022-04-25,0.03851795196533203
2022-04-26,0.03851795196533203
2022-04-27,0.03851795196533203
2022-04-28,0.03851795196533203
2022-04-29,0.03851795196533203
2022-05-04,0.03851795196533203
2022-05-05,0.03851795196533203
2022-05-06,0.03851795196533203
2022-05-09,0.03984615206718445
2022-05-10,0.03984615206718445
2022-05-11,0.03984615206718445
2022-05-12,0.03984615206718445
2022-05-13,0.03984615206718445
2022-05-17,0.03984615206718445
2022-05-18,0.037948716431856155
2022-05-19,0.02846153825521469
2022-05-20,0.02846153825521469
2022-05-23,0.02846153825521469
2022-05-24,0.02846153825521469
2022-05-25,0.02846153825521469
2022-05-26,0.02846153825521469
2022-05-27,0.02846153825521469
2022-05-30,0.02846153825521469
2022-05-31,0.02846153825521469
2022-06-01,0.02846153825521469
2022-06-02,0.02846153825521469
2022-06-03,0.02846153825521469
2022-06-06,0.02846153825521469
2022-06-07,0.02846153825521469
2022-06-08,0.02846153825521469
2022-06-09,0.03700000047683716
2022-06-10,0.03700000047683716
2022-06-13,0.03700000047683716
2022-06-14,0.03700000047683716
2022-06-15,0.03700000047683716
2022-06-16,0.03700000047683716
2022-06-17,0.03700000047683716
2022-06-20,0.03700000047683716
2022-06-21,0.03700000047683716
2022-06-22,0.03700000047683716
2022-06-23,0.03700000047683716
2022-06-24,0.03700000047683716
2022-06-27,0.03700000047683716
2022-06-28,0.03700000047683716
2022-06-29,0.03700000047683716
2022-06-30,0.03700000047683716
2022-07-01,0.03700000047683716
2022-07-04,0.03700000047683716
2022-07-05,0.03700000047683716
2022-07-06,0.03700000047683716
2022-07-07,0.03700000047683716
2022-07-08,0.03700000047683716
2022-07-12,0.02371794916689396
2022-07-13,0.02371794916689396
2022-07-14,0.02371794916689396
2022-07-15,0.02371794916689396
2022-07-18,0.02371794916689396
2022-07-19,0.027512820437550545
2022-07-20,0.027512820437550545
2022-07-21,0.027512820437550545
2022-07-22,0.027512820437550545
2022-07-25,0.027512820437550545
2022-07-26,0.027512820437550545
2022-07-27,0.027512820437550545
2022-07-28,0.027512820437550545
2022-07-29,0.027512820437550545
2022-08-01,0.027512820437550545
2022-08-02,0.027512820437550545
2022-08-03,0.027512820437550545
2022-08-04,0.027512820437550545
2022-08-05,0.027512820437550545
2022-08-08,0.027512820437550545
2022-08-10,0.022769231349229813
2022-08-11,0.032256413251161575
2022-08-12,0.030358975753188133
2022-08-15,0.030358975753188133
2022-08-16,0.030358975753188133
2022-08-17,0.030358975753188133
2022-08-18,0.030358975753188133
2022-08-19,0.030358975753188133
2022-08-22,0.030358975753188133
2022-08-23,0.030358975753188133
2022-08-24,0.030358975753188133
2022-08-25,0.030358975753188133
2022-08-26,0.030358975753188133
2022-08-29,0.030358975753188133
2022-08-30,0.030358975753188133
2022-08-31,0.02371794916689396
2022-09-01,0.02371794916689396
2022-09-02,0.021820513531565666
2022-09-05,0.021820513531565666
2022-09-06,0.021820513531565666
2022-09-07,0.021820513531565666
2022-09-08,0.021820513531565666
2022-09-09,0.021820513531565666
2022-09-12,0.021820513531565666
2022-09-13,0.021820513531565666
2022-09-14,0.021820513531565666
2022-09-15,0.021820513531565666
2022-09-16,0.021820513531565666
2022-09-19,0.021820513531565666
2022-09-20,0.021820513531565666
2022-09-21,0.021820513531565666
2022-09-22,0.021820513531565666
2022-09-23,0.021820513531565666
2022-09-26,0.021820513531565666
2022-09-27,0.021820513531565666
2022-09-28,0.021820513531565666
2022-09-29,0.021820513531565666
2022-09-30,0.021820513531565666
2022-10-03,0.021820513531565666
2022-10-04,0.021820513531565666
2022-10-05,0.021820513531565666
2022-10-06,0.021820513531565666
2022-10-07,0.021820513531565666
2022-10-10,0.021820513531565666
2022-10-11,0.021820513531565666
2022-10-12,0.021820513531565666
2022-10-13,0.032256413251161575
2022-10-14,0.032256413251161575
2022-10-17,0.032256413251161575
2022-10-18,0.01802564039826393
2022-10-19,0.017076922580599785
2022-10-20,0.017076922580599785
2022-10-21,0.017076922580599785
2022-10-25,0.017076922580599785
2022-10-26,0.017076922580599785
2022-10-27,0.017076922580599785
2022-10-28,0.017076922580599785
2022-10-31,0.017076922580599785
2022-11-01,0.017076922580599785
2022-11-02,0.017076922580599785
2022-11-03,0.017076922580599785
2022-11-04,0.017076922580599785
2022-11-07,0.017076922580599785
2022-11-08,0.017076922580599785
2022-11-09,0.017076922580599785
2022-11-10,0.017076922580599785
2022-11-11,0.017076922580599785
2022-11-14,0.017076922580599785
2022-11-15,0.017076922580599785
2022-11-16,0.017076922580599785
2022-11-17,0.017076922580599785
2022-11-18,0.021820513531565666
2022-11-21,0.021820513531565666
2022-11-22,0.021820513531565666
2022-11-23,0.021820513531565666
2022-11-24,0.021820513531565666
2022-11-25,0.021820513531565666
2022-11-28,0.021820513531565666
2022-11-29,0.021820513531565666
2022-11-30,0.021820513531565666
2022-12-01,0.021820513531565666
2022-12-02,0.021820513531565666
2022-12-05,0.021820513531565666
2022-12-06,0.021820513531565666
2022-12-07,0.02371794916689396
2022-12-08,0.02371794916689396
2022-12-09,0.02371794916689396
2022-12-12,0.02371794916689396
2022-12-13,0.02371794916689396
2022-12-14,0.02371794916689396
2022-12-15,0.02371794916689396
2022-12-16,0.02371794916689396
2022-12-19,0.02371794916689396
2022-12-20,0.02371794916689396
2022-12-21,0.02371794916689396
2022-12-22,0.02371794916689396
2022-12-23,0.017076922580599785
2022-12-27,0.024666666984558105
2022-12-28,0.024666666984558105
2022-12-29,0.024666666984558105
2022-12-30,0.024666666984558105
2023-01-03,0.024666666984558105
2023-01-04,0.024666666984558105
2023-01-05,0.024666666984558105
2023-01-06,0.024666666984558105
2023-01-09,0.024666666984558105
2023-01-10,0.024666666984558105
2023-01-11,0.024666666984558105
2023-01-12,0.024666666984558105
2023-01-13,0.024666666984558105
2023-01-16,0.024666666984558105
2023-01-17,0.024666666984558105
2023-01-18,0.024666666984558105
2023-01-19,0.024666666984558105
2023-01-20,0.024666666984558105
2023-01-25,0.024666666984558105
2023-01-26,0.024666666984558105
2023-01-27,0.024666666984558105
2023-01-30,0.024666666984558105
2023-01-31,0.024666666984558105
2023-02-01,0.024666666984558105
2023-02-02,0.024666666984558105
2023-02-03,0.024666666984558105
2023-02-06,0.024666666984558105
2023-02-07,0.024666666984558105
2023-02-08,0.024666666984558105
2023-02-09,0.024666666984558105
2023-02-10,0.024666666984558105
2023-02-13,0.024666666984558105
2023-02-14,0.024666666984558105
2023-02-15,0.024666666984558105
2023-02-16,0.024666666984558105
2023-02-17,0.024666666984558105
2023-02-20,0.024666666984558105
2023-02-21,0.024666666984558105
2023-02-22,0.024666666984558105
2023-02-23,0.037948716431856155
2023-02-24,0.03605128079652786
2023-02-27,0.03605128079652786
2023-02-28,0.03605128079652786
2023-03-01,0.03605128079652786
2023-03-02,0.03605128079652786
2023-03-03,0.03605128079652786
2023-03-06,0.037948716431856155
2023-03-07,0.037948716431856155
2023-03-08,0.037948716431856155
2023-03-09,0.037948716431856155
2023-03-10,0.037948716431856155
2023-03-13,0.037948716431856155
2023-03-14,0.037948716431856155
2023-03-15,0.037948716431856155
2023-03-16,0.037948716431856155
2023-03-17,0.037948716431856155
2023-03-20,0.037948716431856155
2023-03-21,0.037948716431856155
2023-03-22,0.037948716431856155
2023-03-23,0.037948716431856155
2023-03-24,0.037948716431856155
2023-03-27,0.037948716431856155
2023-03-28,0.037948716431856155
2023-03-29,0.02371794916689396
2023-03-30,0.02371794916689396
2023-03-31,0.02371794916689396
2023-04-03,0.02371794916689396
2023-04-04,0.02371794916689396
2023-04-05,0.02371794916689396
2023-04-06,0.02371794916689396
2023-04-10,0.02371794916689396
2023-04-11,0.02371794916689396
2023-04-12,0.02371794916689396
2023-04-13,0.02371794916689396
2023-04-14,0.02371794916689396
2023-04-17,0.02371794916689396
2023-04-18,0.02371794916689396
2023-04-19,0.02371794916689396
2023-04-20,0.02371794916689396
2023-04-21,0.02371794916689396
2023-04-24,0.021820513531565666
2023-04-25,0.021820513531565666
2023-04-26,0.021820513531565666
2023-04-27,0.021820513531565666
2023-04-28,0.021820513531565666
2023-05-02,0.021820513531565666
2023-05-03,0.021820513531565666
2023-05-04,0.021820513531565666
2023-05-05,0.021820513531565666
2023-05-08,0.021820513531565666
2023-05-09,0.021820513531565666
2023-05-10,0.021820513531565666
2023-05-11,0.021820513531565666
2023-05-12,0.021820513531565666
2023-05-15,0.021820513531565666
2023-05-16,0.021820513531565666
2023-05-17,0.021820513531565666
2023-05-18,0.021820513531565666
2023-05-19,0.021820513531565666
2023-05-22,0.021820513531565666
2023-05-23,0.021820513531565666
2023-05-24,0.037948716431856155
2023-05-25,0.02371794916689396
2023-05-26,0.02371794916689396
2023-05-29,0.022769231349229813
2023-05-30,0.022769231349229813
2023-05-31,0.022769231349229813
2023-06-01,0.022769231349229813
2023-06-05,0.022769231349229813
2023-06-06,0.022769231349229813
2023-06-07,0.022769231349229813
2023-06-08,0.022769231349229813
2023-06-09,0.022769231349229813
2023-06-12,0.022769231349229813
2023-06-13,0.022769231349229813
2023-06-14,0.022769231349229813
2023-06-15,0.022769231349229813
2023-06-16,0.02087179571390152
2023-06-19,0.02087179571390152
2023-06-20,0.02087179571390152
2023-06-21,0.02846153825521469
2023-06-22,0.02846153825521469
2023-06-23,0.02846153825521469
2023-06-26,0.027512820437550545
2023-06-27,0.027512820437550545
2023-06-28,0.027512820437550545
2023-06-30,0.027512820437550545
2023-07-03,0.027512820437550545
2023-07-04,0.027512820437550545
2023-07-05,0.025615384802222252
2023-07-06,0.025615384802222252
2023-07-07,0.025615384802222252
2023-07-10,0.025615384802222252
2023-07-11,0.025615384802222252
2023-07-12,0.025615384802222252
2023-07-13,0.025615384802222252
2023-07-14,0.025615384802222252
2023-07-17,0.025615384802222252
2023-07-18,0.025615384802222252
2023-07-19,0.025615384802222252
2023-07-20,0.025615384802222252
2023-07-21,0.025615384802222252
2023-07-24,0.025615384802222252
2023-07-25,0.025615384802222252
2023-07-26,0.025615384802222252
2023-07-27,0.025615384802222252
2023-07-28,0.025615384802222252
2023-07-31,0.025615384802222252
2023-08-01,0.025615384802222252
2023-08-02,0.025615384802222252
2023-08-03,0.025615384802222252
2023-08-04,0.025615384802222252
2023-08-07,0.025615384802222252
2023-08-08,0.025615384802222252
2023-08-10,0.025615384802222252
2023-08-11,0.025615384802222252
2023-08-14,0.025615384802222252
2023-08-15,0.025615384802222252
2023-08-16,0.025615384802222252
2023-08-17,0.025615384802222252
2023-08-18,0.025615384802222252
2023-08-21,0.025615384802222252
2023-08-22,0.025615384802222252
2023-08-23,0.025615384802222252
2023-08-24,0.022769231349229813
2023-08-25,0.022769231349229813
2023-08-28,0.021820513531565666
2023-08-29,0.021820513531565666
2023-08-30,0.021820513531565666
2023-08-31,0.02846153825521469
2023-09-04,0.02846153825521469
2023-09-05,0.02846153825521469
2023-09-06,0.02846153825521469
2023-09-07,0.02846153825521469
2023-09-08,0.02846153825521469
2023-09-11,0.02846153825521469
2023-09-12,0.02846153825521469
2023-09-13,0.02846153825521469
2023-09-14,0.02846153825521469
2023-09-15,0.02846153825521469
2023-09-18,0.02846153825521469
2023-09-19,0.02846153825521469
2023-09-20,0.02846153825521469
2023-09-21,0.02846153825521469
2023-09-22,0.02846153825521469
2023-09-25,0.02846153825521469
2023-09-26,0.02846153825521469
2023-09-27,0.02846153825521469
2023-09-28,0.02846153825521469
2023-09-29,0.02846153825521469
2023-10-02,0.02846153825521469
2023-10-03,0.02846153825521469
2023-10-04,0.02846153825521469
2023-10-05,0.02846153825521469
2023-10-06,0.02846153825521469
2023-10-09,0.02846153825521469
2023-10-10,0.02846153825521469
2023-10-11,0.02846153825521469
2023-10-12,0.02846153825521469
2023-10-13,0.02846153825521469
2023-10-16,0.02846153825521469
2023-10-17,0.02846153825521469
2023-10-18,0.02846153825521469
2023-10-19,0.02846153825521469
2023-10-20,0.02846153825521469
2023-10-23,0.02846153825521469
2023-10-24,0.02846153825521469
2023-10-25,0.02846153825521469
2023-10-26,0.02846153825521469
2023-10-27,0.02846153825521469
2023-10-30,0.02846153825521469
2023-10-31,0.02846153825521469
2023-11-01,0.02846153825521469
2023-11-02,0.02846153825521469
2023-11-03,0.02846153825521469
2023-11-06,0.02846153825521469
2023-11-07,0.02846153825521469
2023-11-08,0.02846153825521469
2023-11-09,0.02846153825521469
2023-11-10,0.02846153825521469
2023-11-14,0.02846153825521469
2023-11-15,0.02846153825521469
2023-11-16,0.02846153825521469
2023-11-17,0.02846153825521469
2023-11-20,0.02846153825521469
2023-11-21,0.02846153825521469
2023-11-22,0.02087179571390152
2023-11-23,0.02087179571390152
2023-11-24,0.019923076033592224
2023-11-27,0.03130769357085228
2023-11-28,0.03130769357085228
2023-11-29,0.03130769357085228
2023-11-30,0.03130769357085228
2023-12-01,0.027512820437550545
2023-12-04,0.027512820437550545
2023-12-05,0.027512820437550545
2023-12-06,0.030358975753188133
2023-12-07,0.030358975753188133
2023-12-08,0.030358975753188133
2023-12-11,0.030358975753188133
2023-12-12,0.030358975753188133
2023-12-13,0.030358975753188133
2023-12-14,0.030358975753188133
2023-12-15,0.030358975753188133
2023-12-18,0.030358975753188133
2023-12-19,0.030358975753188133
2023-12-20,0.030358975753188133
2023-12-21,0.030358975753188133
2023-12-22,0.030358975753188133
2023-12-26,0.018974358215928078
2023-12-27,0.018974358215928078
2023-12-28,0.018974358215928078
2023-12-29,0.018974358215928078
2024-01-02,0.018974358215928078
2024-01-03,0.018974358215928078
2024-01-04,0.018974358215928078
2024-01-05,0.025615384802222252
2024-01-08,0.025615384802222252
2024-01-09,0.025615384802222252
2024-01-10,0.025615384802222252
2024-01-11,0.025615384802222252
2024-01-12,0.025615384802222252
2024-01-15,0.025615384802222252
2024-01-16,0.025615384802222252
2024-01-17,0.025615384802222252
2024-01-18,0.025615384802222252
2024-01-19,0.022769231349229813
2024-01-22,0.024666666984558105
2024-01-23,0.0265641026198864
2024-01-24,0.027512820437550545
2024-01-25,0.03130769357085228
2024-01-26,0.03130769357085228
2024-01-29,0.03130769357085228
2024-01-30,0.03130769357085228
2024-01-31,0.03130769357085228
2024-02-01,0.03130769357085228
2024-02-02,0.03130769357085228
2024-02-05,0.03130769357085228
2024-02-06,0.030358975753188133
2024-02-07,0.030358975753188133
2024-02-08,0.030358975753188133
2024-02-09,0.030358975753188133
2024-02-13,0.027512820437550545
2024-02-14,0.027512820437550545
2024-02-15,0.027512820437550545
2024-02-16,0.027512820437550545
2024-02-19,0.027512820437550545
2024-02-20,0.027512820437550545
2024-02-21,0.027512820437550545
2024-02-22,0.027512820437550545
2024-02-23,0.027512820437550545
2024-02-26,0.027512820437550545
2024-02-27,0.027512820437550545
2024-02-28,0.027512820437550545
2024-02-29,0.027512820437550545
2024-03-01,0.027512820437550545
2024-03-04,0.027512820437550545
2024-03-05,0.027512820437550545
2024-03-06,0.02846153825521469
2024-03-07,0.024666666984558105
2024-03-08,0.02371794916689396
2024-03-11,0.02371794916689396
2024-03-12,0.02371794916689396
2024-03-13,0.02371794916689396
2024-03-14,0.02371794916689396
2024-03-15,0.02371794916689396
2024-03-18,0.02371794916689396
2024-03-19,0.02371794916689396
2024-03-20,0.02371794916689396
2024-03-21,0.02371794916689396
2024-03-22,0.02371794916689396
2024-03-25,0.02371794916689396
2024-03-26,0.02371794916689396
2024-03-27,0.02371794916689396
2024-03-28,0.02371794916689396
2024-04-01,0.024666666984558105
2024-04-02,0.02371794916689396
2024-04-03,0.024666666984558105
2024-04-04,0.024666666984558105
2024-04-05,0.05692307651042938
2024-04-08,0.042692311108112335
2024-04-09,0.04743589833378792
2024-04-11,0.0521794855594635
2024-04-12,0.0521794855594635
2024-04-15,0.04933333396911621
2024-04-16,0.04933333396911621
2024-04-17,0.04743589833378792
2024-04-18,0.04743589833378792
2024-04-19,0.04743589833378792
2024-04-22,0.04648717865347862
2024-04-23,0.04648717865347862
2024-04-24,0.04648717865347862
2024-04-25,0.04648717865347862
2024-04-26,0.04648717865347862
2024-04-29,0.04648717865347862
2024-04-30,0.04648717865347862
2024-05-02,0.04648717865347862
2024-05-03,0.04648717865347862
2024-05-06,0.04648717865347862
2024-05-07,0.04648717865347862
2024-05-08,0.04648717865347862
2024-05-09,0.04648717865347862
2024-05-10,0.04648717865347862
2024-05-13,0.04648717865347862
2024-05-14,0.04648717865347862
2024-05-15,0.042692311108112335
2024-05-16,0.04648717865347862
2024-05-17,0.037948716431856155
2024-05-20,0.037948716431856155
2024-05-21,0.037948716431856155
2024-05-23,0.037948716431856155
2024-05-24,0.037948716431856155
2024-05-27,0.037948716431856155
2024-05-28,0.037948716431856155
2024-05-29,0.037948716431856155
2024-05-30,0.037948716431856155
2024-05-31,0.037948716431856155
2024-06-03,0.037948716431856155
2024-06-04,0.037948716431856155
2024-06-05,0.037948716431856155
2024-06-06,0.037948716431856155
2024-06-07,0.037948716431856155
2024-06-10,0.04364102706313133
2024-06-11,0.04364102706313133
2024-06-12,0.042692311108112335
2024-06-13,0.03984615206718445
2024-06-14,0.03984615206718445
2024-06-18,0.03984615206718445
2024-06-19,0.03984615206718445
2024-06-20,0.03984615206718445
2024-06-21,0.03889743611216545
2024-06-24,0.03889743611216545
2024-06-25,0.03889743611216545
2024-06-26,0.03889743611216545
2024-06-27,0.03889743611216545
2024-06-28,0.03700000047683716
2024-07-01,0.03700000047683716
2024-07-02,0.03700000047683716
2024-07-03,0.03700000047683716
2024-07-04,0.03700000047683716
2024-07-05,0.03700000047683716
2024-07-08,0.03700000047683716
2024-07-09,0.03700000047683716
2024-07-10,0.03700000047683716
2024-07-11,0.027512820437550545
2024-07-12,0.02371794916689396
2024-07-15,0.02846153825521469
2024-07-16,0.024666666984558105
2024-07-17,0.024666666984558105
2024-07-18,0.024666666984558105
2024-07-19,0.024666666984558105
2024-07-22,0.024666666984558105
2024-07-23,0.029410256072878838
2024-07-24,0.03320512920618057
2024-07-25,0.03320512920618057
2024-07-26,0.03320512920618057
2024-07-29,0.032256413251161575
2024-07-30,0.03130769357085228
2024-07-31,0.03130769357085228
2024-08-01,0.03130769357085228
2024-08-02,0.03130769357085228
2024-08-05,0.02846153825521469
2024-08-06,0.02846153825521469
2024-08-07,0.02846153825521469
2024-08-08,0.02846153825521469
2024-08-12,0.02846153825521469
2024-08-13,0.02846153825521469
2024-08-14,0.02846153825521469
2024-08-15,0.02846153825521469
2024-08-16,0.02846153825521469
2024-08-19,0.02846153825521469
2024-08-20,0.02846153825521469
2024-08-21,0.02846153825521469
2024-08-22,0.02846153825521469
2024-08-23,0.02846153825521469
2024-08-26,0.027512820437550545
2024-08-27,0.027512820437550545
2024-08-28,0.027512820437550545
2024-08-29,0.024666666984558105
2024-08-30,0.024666666984558105
2024-09-02,0.024666666984558105
2024-09-03,0.04933333396911621
2024-09-04,0.04933333396911621
2024-09-05,0.04933333396911621
